name,city,country
International Event (B) - L'Argentiere la Bessee (FRA) 2007,L'Argentiere la Bessee,FRA
International Event (B) - La Colmiane (FRA) Masters 2007,La Colmiane,FRA
Promotional Event - Boulder Cup Novi Sad (SRB) 2007,Novi Sad,SRB
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,Arco,ITA
Int. Youth Event - 3. BELGRADE OPEN TROPHY (SRB) 2007,Belgrade Open Trophy,SRB
Promo Event (L+S) Asia Cup - Changsha (CMA),Changsha,CMA
IFSC ParaClimbing Cup 2008 - Moscow (RUS),Moscow,RUS
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,Erlangen,GER
IFSC Climbing Worldcup (S) - Tarnow (POL) 2007,Tarnow,POL
IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,Sofia,BUL
IFSC Climbing Worldcup (B) - Hall (AUT) 2007,Hall,AUT
IFSC Climbing Worldcup (S) - Trento (ITA) 2007,Trento,ITA
IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,La Reunion,FRA
IFSC Climbing Worldcup (L) - Imst (AUT) 2007,Imst,AUT
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,Grindelwald,SUI
IFSC Climbing Worldcup (L) - Zürich (SUI) 2007,Zürich,SUI
IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007,Fiera di Primiero,ITA
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2007,Chamonix,FRA
IFSC Climbing Worldcup (S) - Val Daone (ITA) 2007,Val Daone,ITA
IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,Qinghai,CHN
IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,Aviles,ESP
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007,Puurs,BEL
IFSC Climbing Worldcup (L) - Kazo (JPN) 2007,Kazo,JPN
IFSC Climbing Worldcup (L) - Valence (FRA) 2007,Valence,FRA
IFSC Climbing Worldcup (B) - Brno (CZE) 2007,Brno,CZE
IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,Kranj,SLO
Asian Youth Championship (L+S) - Yamaguchi (JPN) 2008,Yamaguchi,JPN
European Youth Series - Imst (AUT) 2007,Imst,AUT
European Youth Series - Veliko Tarnovo (BUL) 2007,Veliko Tarnovo,BUL
European Youth Series - Leipzig (GER) 2007,Leipzig,GER
European Youth Series - Warsaw (POL) 2007,Warsaw,POL
European Youth Series - Linz (AUT) 2007,Linz,AUT
European Youth Series - Kranj (SLO) 2007,Kranj,SLO
IFSC Asian Championships (B+L+S) - Guangzhou (CHN) 2008,Guangzhou,CHN
IFSC Climbing World Youth Championship - Sydney (AUS) 2008,Sydney,AUS
Oceanian Championship - New Zealand,,
IFSC European Championship - Paris (FRA) 2008,Paris,FRA
IFSC Paraclimbing Cup - Val Daone (ITA) - 2009,Val Daone,ITA
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,Hall,AUT
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,Trento,ITA
IFSC Climbing Worldcup (B) - Reunion (FRA) 2008,Reunion,FRA
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,Grindelwald,SUI
IFSC Climbing Worldcup (B) - Vail (USA) 2008,Vail,USA
IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,Fiera di Primiero,ITA
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,Qinghai,CHN
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,Montauban,FRA
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,Chamonix,FRA
IFSC Climbing Worldcup (S) - Val Daone (ITA) 2008,Val Daone,ITA
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,Bern,SUI
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,Imst,AUT
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,Puurs,BEL
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,Moscow,RUS
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,Kranj,SLO
"Oceania Championship - Port Maquarie, NSW (AUS) 2009",NSW,AUS
Asia Youth Championship - Almaty (KAZ) - 2009,Almaty,KAZ
IFSC World Youth Championships - Valence (FRA) 2009,Valence,FRA
Regional Event (B) - Kitzbühel (AUT) 2008,Kitzbühel,AUT
Int. Youth Event - Open Youth Aix-en-Provence (FRA) 2008,Youth Aix-en-Provence,FRA
Promo Event Kia X Games Asia (Speed) Shanghai (CHN) 2008,Shanghai,CHN
Promotional Event Melloblocco (ITA) 2008,,ITA
Youth Color Climbing Festival - Imst (AUT) 2008,Imst,AUT
Int. Event (L+B) DimaRockmaster - Dima (ESP) 2008,Dima,ESP
Int. Youth Event - Rock Junior (ITA) 2008,Rock Junior,ITA
Promo Event Ambrosia Boulder Contest Zsombo (HUN) 2008,Zsombo,HUN
Int. Youth Event - Petzen Trophy Kärnten (AUT) 2008,Kärnten,AUT
Int. Event (L) - Serre Chevalier (FRA) 2008,Serre Chevalier,FRA
Promo Event Tout a Bloc l'Argentière la Bessée (FRA) 2008,l'Argentière la Bessée,FRA
Promo Event Balkan Climbing Competition,,
Promo Event - Asia Youth Cup Bali (Indonesia),Bali,IDN
Promotional Event BAZ Bouldering at Sea Scheveningen Beach (NED),Scheveningen Beach,NED
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2008,Arco,ITA
Intl. Event - TreX Games Busan 2008 Intl. Sport Climbing Competition,Busan,
International Event (S + L) - Shanghai (CHN) 2008,Shanghai,CHN
IFSC Hydromaster CHINA 2008,,
Promo Indonesia Open Xtreme - Bandung,,
Promo Event - Nordic Bouldering Challenge- Lillehammer (NOR) 2008,Lillehammer,NOR
Centre and South American Continental Championship Sport Climbing - Senior,,
North American Championships -  Montreal (CAN) 2008,Montreal,CAN
Asia Cup Bouldering,,
Asia Championship - Chuncheon (KOR) - 2009,Chuncheon,KOR
Asian X Games (S) - Shanghai (CHN) 2009,Shanghai,CHN
World Games (L+S) - Kaohsiung (TPE) 2009,Kaohsiung,TPE
IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,Kazo,JPN
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,Tarnow,POL
IFSC Climbing Worldcup (S) - Trento (ITA) 2009,Trento,ITA
IFSC Climbing Worldcup (B) - Hall (AUT) 2009,Hall,AUT
IFSC Climbing Worldcup (B) - Wien (AUT) 2009,Wien,AUT
IFSC Climbing Worldcup (B) - Vail (USA) 2009,Vail,USA
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2009,Eindhoven,NED
IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed,Qinghai,CHN
IFSC Climbing World Championships  - Qinghai (CHN) 2009,Qinghai,CHN
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",Chamonix,FRA
IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,Daone,ITA
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,Barcelona,ESP
IFSC Climbing Worldcup (L) - Imst (AUT) 2009,Imst,AUT
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,Puurs,BEL
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,Brno,CZE
IFSC Climbing Worldcup (L) - Kranj (SLO) 2009,Kranj,SLO
IFSC European Youth Series (L) - Prague (CZE) 2008,Prague,CZE
IFSC European Youth Series (L+S) - Wuppertal (GER) 2008,Wuppertal,GER
IFSC European Youth Series (L) - Imst (AUT) 2008,Imst,AUT
IFSC European Youth Series (L) - Annecy (FRA) 2008,Annecy,FRA
IFSC European Youth Series (L) - Kranj (SLO) 2008,Kranj,SLO
European Youth Series - Imst (AUT) 2009,Imst,AUT
IFSC European Youth Series (L+S) - Munich (GER),Munich,GER
IFSC European Youth Series - Edinburgh (GBR),Edinburgh,GBR
IFSC European Youth Series (L+S) - Kaliningrad (RUS),Kaliningrad,RUS
IFSC European Youth Series - Kranj (SLO) 2009,Kranj,SLO
Intl. Event (B) - Boulder Promo - Sheffield (GBR) 2009,Sheffield,GBR
Shanghai Rock Master (L + S) - Shanghai (CHN) 2009,Shanghai,CHN
Promotional Event - Melloblocco (ITA),,ITA
Intl. Event (B)  - Open Boulder Austria and Germany Cup- Kitzbuhel (AUT) 2009,Kitzbuhel,AUT
"Promo Event - Rock Master Ecuador (L, B, S) - Quito (ECU)",Quito,ECU
Intl. Event - Youth Color Climbing Festival- Imst (AUT) 2009,Imst,AUT
Intl. Event - Rockjunior - Arco (ITA) 2009,Arco,ITA
Ambrosia Boulder Promo,,
Intl. Youth Event - Petzen Climbing Trophy - Petzen (AUT) 2009,Petzen,AUT
Friedrichshafen Speed Promo - Friedrichshafen (GER) - 2009,Friedrichshafen,GER
Intl. Event (L)  - Lead Masters - Serre Chevalier (FRA) 2009,Serre Chevalier,FRA
Promo event - European Youth Speed Cup - Stuttgart (GER) 2009,Stuttgart,GER
Promo Event (B) - Boulder Promo - Argentiere (FRA) 2009,Argentiere,FRA
Promo Event - Bronx Rock Invitational - Cologne (GER) 2009,Cologne,GER
Promo Event - Innsbruck (AUT) - 2009,Innsbruck,AUT
Promo Event - BAZ - Scheveningen Beach (NED) - 2009,Scheveningen Beach,NED
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2009,Arco,ITA
"Intl. Event (L) - Lead Masters - Dur&Go Climbing Master, Durango (ESP) 2009",Durango,ESP
Promo Event - Indonesia Open Xtreme - Makasar (INA) 2009,Makasar,INA
IFSC Paraclimbing Cup - Daone (FRA) - 2010,Daone,FRA
IFSC Paraclimbing Cup - Daone (ITA) 2010,Daone,ITA
IFSC Paraclimbing Cup - Chiba (JPN) 2010,Chiba,JPN
IFSC World Youth Championship - Edinburgh (GBR) - 2010,Edinburgh,GBR
Oceania Continental Championship - Auckland (NZL) 2010,Auckland,NZL
European Speed Cup - Friedrichshafen (GER) 2010,Friedrichshafen,GER
European Championship - Imst/Innsbruck (AUT) 2010,Imst/Innsbruck,AUT
European Speed Cup - Nicosia (CYP) 2010,Nicosia,CYP
"IFSC PanAmerican Championship (L, S, B) - Quito (ECU) 2010",Quito,ECU
"PanAmerican Youth Championship (L,S, B) - Ibarra (ECU)",Ibarra,ECU
Asian Continental Championship,,
CISM Winter Military World Games - Courmayeur (ITA) 2010,Courmayeur,ITA
International University Bouldering Trophy Avogadro - Pollone (ITA) 2010,Pollone,ITA
Regional European Competition  (L + S) - Volos and Almyros (GRE) 2010,Volos and Almyros,GRE
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,Trento,ITA
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,Greifensee,SUI
IFSC Climbing Worldcup (B) - Wien (AUT) 2010,Wien,AUT
IFSC Climbing Worldcup (B) - Vail (USA) 2010,Vail,USA
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",Moscow,RUS
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,Eindhoven,NED
IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,Sheffield,GBR
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",Chamonix,FRA
IFSC Climbing Worldcup (S) - Daone (ITA) 2010,Daone,ITA
IFSC Climbing Worldcup (B) - Munich (GER) 2010,Munich,GER
"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",Xining,CHN
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",Chuncheon,KOR
IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,Puurs,BEL
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",Huaiji,CHN
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,Kranj,SLO
European Youth Series - Imst (AUT) 2010,Imst,AUT
European Youth Series - Friedrichschafen (GER) 2010,Friedrichschafen,GER
European Youth Series - Wien (AUT) 2010,Wien,AUT
European Youth Series - Veliko Tarnovo (BUL) 2010,Veliko Tarnovo,BUL
European Youth Series - Annecy (France) 2010,Annecy,FRA
European Youth Series - Kranj (SLO) 2010,Kranj,SLO
Asian Continental Championship - Huangshi (CHN) 2011,Huangshi,CHN
Promo Event - Bodensee Climbing Trophy - Dornbirn (AUT) 2010,Dornbirn,AUT
European Promo Event - Boulder - Sheffield (GBR) 2010,Sheffield,GBR
Promotional Event - Kitzbuhel (AUT) 2010,Kitzbuhel,AUT
Promotional Event - Melloblocco (ITA) 2010,,ITA
Promo Event - Melloblocco (ITA) 2010,,ITA
Intl. Event - Youth Color Climbing Festival - Imst (AUT) 2010,Imst,AUT
Intl. Event - Rock Junior - Arco (ITA) 2010,Arco,ITA
International Youth Event - Rockjunior - Arco (ITA) 2010,Arco,ITA
Ambrosia Boulder Contest - Zsombo (HUN) 2010,Zsombo,HUN
"Junior Climbing Marathon (B, L) - Traversella (ITA) 2010",Traversella,ITA
International Event - Petzen Climbing Trophy - Petzen (AUT) 2010,Petzen,AUT
"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2010",Petzen,AUT
Rock Master - World Championship Pre-event - Arco (ITA),Arco,ITA
Rockmaster ARCO  2010 - Duel Lead,Arco,
European Youth Bouldering Event - L'Argeniere (FRA) 2010,L'Argeniere,FRA
Promo Event (B) - Boulder Promo - Argentiere (FRA) 2010,Argentiere,FRA
European Youth Bouldering Event - L'Argentiere (FRA) 2010,L'Argentiere,FRA
L'Argentiere Boulder Promo - L'Argentiere (FRA) 2010,L'Argentiere,FRA
"Lead International Event, Open International - Briancon (FRA) 2010",Briancon,FRA
HydroMaster Irkutsk - Irkutsk (RUS) 2010,Irkutsk,RUS
"Promotional Event - Youyang, Chongqing (CHN)",Chongqing,CHN
Jiangyin Rock Master - Jiangyin (CHN) 2010,Jiangyin,CHN
IFSC World Youth Championship - Imst (AUT) - 2011,Imst,AUT
IFSC Paraclimbing World Championship LEAD - Arco (ITA) 2011,Arco,ITA
IFSC Paraclimbing World Championship SPEED - Arco (ITA) 2011,Arco,ITA
26th South East Asian Games 2011 - Palembang and Jakarta (IDN) 2011,Palembang and Jakarta,IDN
Paraclimbing Cup Arco 2012 - Arco (ITA) 2012,Arco,ITA
IFSC Paraclimbing World Championship - Paris (FRA) 2012,Paris,FRA
Asian Youth Championship - Hamedan (IRI) 2012,Hamedan,IRI
IFSC World Youth Championship - Singapore (SIN) - 2012,Singapore,SIN
Asian Youth Championship - Singapore (SGP) 2011,Singapore,SGP
IFSC World Youth Championship - Central Saanich (CAN) - 2013,Central Saanich,CAN
"Asian Continental Championship - Leye, Guangxi (CHN) 2012",Guangxi,CHN
"Asian Cup (L, S) - Chengdu CHN) 2012",Chengdu,CHN
Promotional Event - CupOFF HUDY - Prague (CZE) 2011,Prague,CZE
European Promo Event - Boulder - Sheffield (GBR) 2011,Sheffield,GBR
Rheintal Cup - Kinder-Bouldertag Küblis (B),,
Promotional Event - Nordic Bouldering Championship - Bouldertehdas Turku (FIN) 2011,Bouldertehdas Turku,FIN
Rheintal Cup - Junior Cup Dornbirn (L),,
Rheintal Cup - Eidechsli Chur (L),,
Promotional Event - Melloblocco (ITA) 2011,,ITA
International under 14 Event - Atomska Mravka - Skopje (MKD) 2011,Skopje,MKD
Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2011,Imst,AUT
Promotional event - Unified Bouldering Championship - New York (USA) 2011,New York,USA
"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2011",Petzen,AUT
Promotional Event - Mammut Blocmaster - Innsbruck (AUT) 2011,Innsbruck,AUT
Rockmaster Gala Duel - Arco (ITA) 2011,Arco,ITA
International Climbing Festival (under 14) - Veliko Tarnovo (BUL) 2011,Veliko Tarnovo,BUL
Promo event Adidas Rockstars - AREA 47 Otztal Bahnhof (AUT) 2011,Otztal Bahnhof,AUT
Promotional Event - Norwegian Rockmaster - Arendal (NOR) 2011,Arendal,NOR
Promotional Event - Les 24 heures du Mur (L) - Oloront Sainte Marie (FRA) 2011,Oloront Sainte Marie,FRA
Rheintal Cup - Megusta-Kids-Cup (L),,
Rheintal Cup - Megusta-Kids-Cup (S),,
Intl. Event - Rock Junior - Arco (ITA) 2011,Arco,ITA
Jiangyin Rock Master - Jiangyin (CHN) 2011,Jiangyin,CHN
Rheintal Cup Finale - Nikoloklettern Dornbirn (L),,
Asian Youth Championship - Surabaya (INA) 2013,Surabaya,INA
"IFSC Panamerican Championship (L, S, B) - San Juan de los Morros (VEN) 2012",San Juan de los Morros,VEN
"PanAmerican Youth Championship (L,S, B) - Santiago (CHI) 2012",Santiago,CHI
European Paraclimbing Lead Championship - Chamonix (FRA) 2013,Chamonix,FRA
Paraclimbing Cup Arco 2013 - Arco (ITA) 2013,Arco,ITA
Paraclimbing Cup London (Lead) 2013 - London (GBR) 2013,London,GBR
Paraclimbing Cup Laval (Boulder) 2013 - Laval (FRA) 2013,Laval,FRA
"2nd CISM World Winter Games ""Annecy-Chamonix 2013""",Annecy-Chamonix,
The World Games 2013 - Cali (COL) 2013,Cali,COL
"Asian Continental Championship - Tehran, (IRN) 2013",Tehran,IRN
European Youth Cup (S) - Tarnow (POL) 2011,Tarnow,POL
"European Youth Cup (L,S) - Edinburgh (GBR) 2011",Edinburgh,GBR
European Youth Cup (S) - Chamonix (FRA) 2011,Chamonix,FRA
European Youth Cup (S) - Friedrichshafen (GER) 2011,Friedrichshafen,GER
"European Youth Cup (L,S) - Veliko Tarnovo (BUL) 2011",Veliko Tarnovo,BUL
European Youth Cup (L) - Imst (AUT) 2011,Imst,AUT
European Youth Cup (B) - Meran (ITA) 2011,Meran,ITA
European Youth Cup (B)- Munich (GER) 2011,Munich,GER
European Youth Cup (L) - Pau (FRA) 2011,Pau,FRA
European Youth Cup (L)- Kranj (SLO) 2011,Kranj,SLO
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",Chongqing,CHN
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,Log-Dragomer,SLO
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,Vienna,AUT
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,Innsbruck,AUT
IFSC Climbing Worldcup (B) - Vail (USA) 2012,Vail,USA
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",Chamonix,FRA
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,Briançon,FRA
IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,Val Daone,ITA
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,Imst,AUT
IFSC Climbing Worldcup (B) - Munich (GER) 2012,Munich,GER
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,Arco,ITA
IFSC World Championship Lead Group A - Paris 2012,Paris,
IFSC World Championship Lead Group B - Paris 2012,Paris,
IFSC Climbing World Championship - Paris (FRA) 2012,Paris,FRA
IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,Puurs,BEL
IFSC Climbing Worldcup (L) - Atlanta (USA) 2012,Atlanta,USA
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",Xining,CHN
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",Mokpo,KOR
IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,Inzai,JPN
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,Kranj,SLO
Oceania International Open - Katoomba (AUS) 2014,Katoomba,AUS
Asian University Climbing Championships - Singapore (SIN) 2014,Singapore,SIN
Youth Olympic Games Nanjing (CHN) - Sports Lab - Climbing Showcase,Nanjing,CHN
"PanAmerican Youth Championship (L,S, B) - Mexico City (MEX) 2014",Mexico City,MEX
"IFSC World Youth Championship - Noumea, New Caledonia (FRA) - 2014",New Caledonia,FRA
IFSC World Youth Championships - Arco (ITA) - 2015,Arco,ITA
Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2014,Sheffield,GBR
Kia World Extreme Games - Shanghai (CHN) 2014,Shanghai,CHN
Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2014,Imst,AUT
"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2014",Petzen,AUT
European Promo Event (S) - Munich (GER) 2014,Munich,GER
Promotional Event - Tout à Bloc (B) - L'Argentière la Bessée (FRA) 2014,L'Argentière la Bessée,FRA
"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2014",Arco,ITA
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2014",Arco,ITA
Intl. Event - Rock Junior - Arco (ITA) 2014,Arco,ITA
Promotional Event - Adidas Rockstars (B) - Stuttgart (GER) 2014,Stuttgart,GER
Promotional Event - 24 heures du mur (L) - Oloron Sainte Marie (FRA) 2014,Oloron Sainte Marie,FRA
"European Cup (L, S) - Ekaterinburg (RUS) 2013",Ekaterinburg,RUS
"European Championship (L,S) - Chamonix (FRA) 2013",Chamonix,FRA
European Championship (B) - Eindhoven (NED) 2013,Eindhoven,NED
22th Asian Continental Championship - Lombok (INA) 2014,Lombok,INA
European Universities Sport Climbing Championship - Katowice (POL) 2015,Katowice,POL
Asian Continental Championship - Ningbo (CHN) 2015,Ningbo,CHN
Oceania Continental Championship - Nouméa (New Caledonia) 2013,Nouméa,NCL
European Championship (B) - Innsbruck (AUT) 2015,Innsbruck,AUT
"European Championship (L,S) - Chamonix (FRA) 2015",Chamonix,FRA
Promotional Event - Gravical (B) - Singapore (SIN) 2015,Singapore,SIN
IFSC World Climbing Camp @ The Boulders,,
Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2015,Sheffield,GBR
Kia World Extreme Games - Speed Climbing - Shanghai (CHN) 2015,Shanghai,CHN
Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2015,Imst,AUT
"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2015",Petzen,AUT
Promotional Event (S) - Gaflenz (AUT) 2015,Gaflenz,AUT
Torino European Climbing Challenge (L) - Torino (ITA) 2015,Torino,ITA
Master Event - Adidas Rockstars (B) - Stuttgart (GER) 2015,Stuttgart,GER
Promotional Event - 24 heures du mur (L) - Oloron Sainte Marie (FRA) 2015,Oloron Sainte Marie,FRA
Intl. Event - Fajr Master - Zanjan (IRI) 2012,Zanjan,IRI
European Promo Event (B) - Sheffield (GBR) 2012,Sheffield,GBR
Intl. Event - Master de Bouldering The North Face (CHI) 2012,The North Face,CHI
Rheintal Cup - Junior Cup Dornbirn (L) 2012,Dornbirn,
Rheintal Cup - Bouldertag Küblis (B) 2012,Bouldertag Küblis,
Promotional Event - Melloblocco (ITA) 2012,,ITA
Rheintal Cup - Eidechsli Chur (L) 2012,Eidechsli Chur,
Promotional Event - namBa HIPS CUP (L) (JPN) 2012,namBa HIPS CUP,JPN
Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2012,Imst,AUT
Promotional Event - Copa Aldea (L) Lunahuana (PER) 2012,Lunahuana,PER
Promotional Event - Festival del Andinismo 2012 (L - S) Huaraz (PER) 2012,Huaraz,PER
European Promo Event (S) - Munich (GER) 2012,Munich,GER
"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2012",Petzen,AUT
Promotional Event - European OutDoor Speedcup (S) - Friedrichshafen (GER) 2012,Friedrichshafen,GER
Promotional Event - Adidas Rockstars (B) - Stuttgart (GER) 2012,Stuttgart,GER
Intl. Event - Rock Junior - Arco (ITA) 2012,Arco,ITA
"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2012",Arco,ITA
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",Arco,ITA
Rheintal Cup - Megusta Cup Chur 2012,Chur,
Rheintal Cup - Megusta Cup Chur (S) 2012,Chur,
Promotional Event - Les 24 heures du Mur (L) - Oloront Sainte Marie (FRA) 2012,Oloront Sainte Marie,FRA
Wujiang Rock Master - Wujiang (CHN) 2012,Wujiang,CHN
Rheintal Cup - Nikoloklettern Dornbirn (L) 2012,Nikoloklettern Dornbirn,
Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2013,Sheffield,GBR
Promotional Event - Melloblocco 10th anniversary (ITA) 2013,Melloblocco anniversary,ITA
Promotional Event - namBa HIPS CUP (L) - Osaka (JPN) 2013,Osaka,JPN
Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2013,Imst,AUT
Promotional Event - Adidas Rockstars Korea (B) - Seoul (KOR) 2013,Seoul,KOR
Kia World Extreme Games - Shanghai (CHN) 2013,Shanghai,CHN
"Promotional Event - Adidas Rockstars China (B) - Shanghai, Century Plaza (CHN) 2013",Century Plaza,CHN
"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2013",Petzen,AUT
European Promo Event (S) - Munich (GER) 2013,Munich,GER
International Event (S) - Val Daone (ITA) 2013,Val Daone,ITA
Promotional Event - Tout à Bloc (B) - L'Argentière la Bessée (FRA) 2013,L'Argentière la Bessée,FRA
Intl. Event - Rock Junior - Arco (ITA) 2013,Arco,ITA
"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2013",Arco,ITA
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2013",Arco,ITA
Promotional Event - Adidas Rockstars (B) - Stuttgart (GER) 2013,Stuttgart,GER
International under 14 Event - Atomska Mravka - Skopje (MKD) 2013,Skopje,MKD
Promotional Event - 24 heures du mur (L) - Oloron Sainte Marie (FRA) 2013,Oloron Sainte Marie,FRA
Promotional Event -  (L) - Haiyang (CHN) 2013,Haiyang,CHN
"Promotional Event -  (B,L) - Moscow (RUS) 2013",Moscow,RUS
European Youth Cup (L) - Imst (AUT) 2014,Imst,AUT
"European Youth Championship (L,S) - Edinburgh 2014",Edinburgh,
European Youth Cup (S) - Imst (AUT) 2014,Imst,AUT
European Youth Cup (S) - Chamonix (FRA) 2014,Chamonix,FRA
European Youth Cup (B) - L'Argentière (FRA) 2014,L'Argentière,FRA
European Youth Cup (B) - Laengenfeld/Oetzal (AUT) 2014,Laengenfeld/Oetzal,AUT
European Youth Championship (B) - Arco (ITA) 2014,Arco,ITA
Paraclimbing Cup (L) - Imst (AUT) 2015,Imst,AUT
Paraclimbing Cup (L) - Chamonix (FRA) 2015,Chamonix,FRA
Paraclimbing Cup (L) - Sheffield (GBR) 2015,Sheffield,GBR
Asian Continental Championship - Duyun (CHN) 2016,Duyun,CHN
Asian Youth Championship - Putrajaya (MAS) 2015,Putrajaya,MAS
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",Milano,ITA
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,Log-Dragomer,SLO
IFSC Climbing Worldcup (B) - Vienna (AUT) 2011,Vienna,AUT
IFSC Climbing Worldcup (B) - Canmore (CAN) 2011,Canmore,CAN
IFSC Climbing Worldcup (B) - Vail (USA) 2011,Vail,USA
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,Eindhoven,NED
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,Barcelona,ESP
IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,Sheffield,GBR
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",Chamonix,FRA
IFSC Climbing World Championships  - Arco (ITA) 2011,Arco,ITA
IFSC World Championship Lead Group A - Arco 2011,Arco,
IFSC World Championship Lead Group B - Arco 2011,Arco,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2011,Briançon,FRA
IFSC Climbing Worldcup (S) - Daone (ITA) 2011,Daone,ITA
IFSC Climbing Worldcup (B) - Munich (GER) 2011,Munich,GER
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",Xining,CHN
"IFSC Climbing Worldcup (L,S) - Changzhi (CHN) 2011",Changzhi,CHN
IFSC Climbing Worldcup (L) - Puurs (BEL) 2011,Puurs,BEL
