name,city,country
European Youth Cup - Chocen (CZE) 1997,Chocen,CZE
European Youth Cup - Bern (SUI) 1997,Bern,SUI
European Youth Cup - Parma (ITA) 1997,Parma,ITA
UIAA Masters - Serre Chevalier 1997,Serre Chevalier,
UIAA Masters - Rock Masters Arco 1997,Arco,
"UIAA Masters - San Diego X-Games, USA 1997",USA,
UIAA Youth Worldchampionship - Moscow (RUS) 1998,Moscow,RUS
UIAA Worldcup - Beauregard (ITA) 1998,Beauregard,ITA
UIAA Worldcup - Courmayeur (ITA) 1998,Courmayeur,ITA
UIAA Worldcup - Milan (ITA) 1998,Milan,ITA
UIAA Worldcup - Kranj (SLO) 1998,Kranj,SLO
UIAA European Championship - Nürnberg (GER) 1998,Nürnberg,GER
European Youth Cup - Dortmund (GER) 1998,Dortmund,GER
European Youth Cup - Triest (ITA) 1998,Triest,ITA
European Youth Cup - Imst (AUT) 1998,Imst,AUT
European Youth Cup - Aix en Provence (FRA) 1998,Aix en Provence,FRA
Top Rock Challenge - Val d'Isere (FRA) 1998,Val d'Isere,FRA
Top Rock Challenge - Chamonix (FRA) 1998,Chamonix,FRA
UIAA Masters - Serre Chevalier (FRA) 1998,Serre Chevalier,FRA
Top Rock Challenge - Valloire (FRA) 1998,Valloire,FRA
Top Rock Challenge - Cortina d'Ampezzo (ITA) 1998,Cortina d'Ampezzo,ITA
Top Rock Challenge - Crans Montana (SUI) 1998,Crans Montana,SUI
Top Rock Challenge - Grenoble (FRA) 1998,Grenoble,FRA
UIAA Masters - Rock Masters Arco (ITA) 1998,Arco,ITA
UIAA Worldcup - Wiener Neustadt (AUT) 1999,Wiener Neustadt,AUT
UIAA Worldcup - Leipzig (GER) 1999,Leipzig,GER
UIAA Worldcup - Besancon (FRA) 1999,Besancon,FRA
UIAA Worldcup - Benasque (ESP) 1999,Benasque,ESP
UIAA Worldcup - Val d'Isere (FRA) 1999,Val d'Isere,FRA
UIAA Worldcup - Chamonix (FRA) 1999,Chamonix,FRA
UIAA Worldcup - Beauregard (ITA) 1999,Beauregard,ITA
UIAA Worldcup - Bardonecchia (ITA) 1999,Bardonecchia,ITA
UIAA Worldcup - Cortina (ITA) 1999,Cortina,ITA
UIAA Worldcup - Grenoble (FRA) 1999,Grenoble,FRA
